,name,gender,race,count
0,Li,none,asian,6276
31,Chan,male,asian,712
53,Chang,none,asian,366
90,Bai,female,asian,169
103,Chen,male,asian,116
105,Raja,none,asian,114
197,Ming,male,asian,30
294,Wang,none,asian,3
308,Chang Lee,male,asian,0
310,Chen Lang,none,asian,0
311,Chen Wee,male,asian,0
312,Chen Wu,male,asian,0
313,Chin Pang,none,asian,0
314,Chong Ling,none,asian,0
320,Feng Wu,none,asian,0
329,Joo-Lin,none,asian,0
337,Laquan,male,asian,0
348,Ragesh,male,asian,0
349,Rajeev,male,asian,0
354,Sheng Lee,male,asian,0
357,Sudeep,male,asian,0
367,Won Lee,male,asian,0
368,Won San Lee,male,asian,0
369,Wong Chang,none,asian,0
370,Yang Wang,none,asian,0
